State,District,Party,AVG,Margin
AK,0,rep,0.961106309,6.584776337
AL,1,rep,0.927731092,26.37984972
AL,2,rep,0.835365854,22.96247182
AL,3,rep,0.956410256,27.49886812
AL,4,rep,0.889478338,59.64566673
AL,5,rep,0.962468724,22.12542151
AL,6,rep,0.93204698,38.40720301
AR,1,rep,0.836242727,40.17491118
AR,2,rep,0.77006689,6.308861998
AR,3,rep,0.924471299,32.11250805
AR,4,rep,0.967493584,35.50943912
AZ,1,dem,0.933333333,7.687653379
AZ,3,dem,0.876190476,27.73092392
AZ,4,rep,0.876190476,37.65625282
AZ,5,rep,0.938333333,18.849181
AZ,6,rep,0.681610247,10.38607072
AZ,8,rep,0.917094017,10.92777342
CA,2,dem,1,54.01590967
CA,3,dem,0.899817851,16.14589388
CA,4,rep,1,8.262929541
CA,7,dem,0.86463621,10.08994485
CA,9,dem,0.733205374,12.98296997
CA,10,rep,0.963559322,-4.502027941
CA,11,dem,0.858125537,48.26484234
CA,12,dem,1,73.64636423
CA,14,dem,0.918964077,58.44511155
CA,15,dem,0.862563238,45.93508767
CA,16,dem,0.851246776,15.09034059
CA,17,dem,0.932478632,50.69472727
CA,18,dem,0.91158267,48.98325161
CA,19,dem,0.838155515,47.50974723
CA,21,rep,0.851246776,-0.758695958
CA,22,rep,0.932478632,5.44430904
CA,23,rep,0.91158267,27.43398097
CA,24,dem,0.835689046,17.11100407
CA,25,rep,0.957555178,-8.732277102
CA,26,dem,0.83403895,23.8840212
CA,28,dem,0.862563238,56.7440044
CA,30,dem,0.840753425,46.80317097
CA,31,dem,0.801179444,17.48899971
CA,32,dem,0.854621849,37.55669911
CA,33,dem,0.929661017,40.05689446
CA,35,dem,0.842010772,38.79643547
CA,36,dem,0.846283784,18.03311949
CA,37,rep,0.846428571,-78.15109697
CA,37,dem,0.96886121,78.15109697
CA,41,dem,0.850833333,30.19946105
CA,42,rep,0.929661017,12.99863753
CA,43,dem,0.863744076,55.33837961
CA,45,rep,0.842010772,-4.102014812
CA,46,dem,0.861747243,38.29200357
CA,47,dem,0.953664701,29.7109973
CA,48,rep,0.843935539,-7.103984583
CA,50,rep,0.790349418,3.430968785
CA,51,dem,0.841617523,42.40190342
CA,52,dem,0.84375,27.6942775
CA,53,dem,0.86287953,38.14817295
CO,1,dem,0.955574183,50.76617626
CO,3,rep,0.925925926,7.965459905
CO,4,rep,0.861747243,21.23858846
CO,5,rep,0.953664701,17.71420602
CO,6,rep,0.9590301,-11.23186003
CO,7,dem,0.862917399,25.00724839
CT,1,dem,0.852941176,25.58218429
CT,2,dem,0.844798658,22.5433566
CT,3,dem,0.837770383,24.99417183
CT,4,dem,0.867491166,23.7804325
DE,0,dem,0.858102435,28.90793991
FL,1,rep,0.819138756,34.11727484
FL,2,rep,0.90984975,34.88266659
FL,3,rep,0.918350168,15.24848611
FL,4,rep,0.887945671,32.80506965
FL,5,dem,0.948075201,33.56243942
FL,7,dem,0.936479129,15.38383985
FL,8,rep,0.837770383,20.99620833
FL,9,dem,0.866607774,16.0434998
FL,11,rep,0.849565217,30.29664822
FL,12,rep,0.858102435,18.42839143
FL,13,dem,0.923473775,15.28941133
FL,15,rep,0.927419355,6.040653937
FL,16,rep,0.882149047,9.122907837
FL,18,rep,0.948075201,8.602373532
FL,19,rep,0.960138648,24.54572491
FL,22,dem,0.893812709,24.0473927
FL,23,dem,0.78649789,22.49372209
FL,25,rep,0.866607774,20.90676314
FL,26,rep,0.955882353,-1.749230279
GA,1,rep,0.859209257,15.47731597
GA,2,dem,0.833777778,19.29868962
GA,3,rep,0.911764706,31.05260643
GA,4,dem,0.858119658,57.69383918
GA,6,rep,0.863148479,-1.029607525
GA,7,rep,0.810300429,0.14940754
GA,9,rep,0.961961116,59.01094584
GA,10,rep,0.873472949,25.78393645
GA,11,rep,0.816021127,23.58279127
GA,12,rep,0.893812709,18.95612183
GA,13,dem,0.960537364,52.36875975
GA,14,rep,0.948482061,53.00360433
HI,2,dem,0.813893654,54.72463797
IA,1,rep,0.863597613,-5.056201626
IA,2,dem,0.93622449,12.1947634
IA,3,rep,0.92910759,-2.163984494
IA,4,rep,0.85915493,3.329598309
ID,2,rep,0.851493849,21.34043577
IL,1,dem,0.920115496,53.74488629
IL,2,dem,0.950087566,62.11110686
IL,3,dem,0.820224719,47.09000869
IL,5,dem,0.851820491,53.32908204
IL,6,rep,0.95777027,-7.150510705
IL,7,dem,0.913969336,75.23015883
IL,8,dem,0.953467954,31.94945391
IL,9,dem,0.796822742,46.97245747
IL,10,dem,0.927835052,31.18023665
IL,11,dem,0.838198499,27.68160165
IL,12,rep,0.958368027,6.178716311
IL,13,rep,0.962627407,0.759462841
IL,14,rep,0.813893654,-5.003718048
IL,15,rep,0.842155919,41.85510626
IL,16,rep,0.854656223,18.24880289
IL,17,dem,0.845041322,24.18682998
IL,18,rep,0.950087566,34.46689063
IN,1,dem,0.955648536,30.18527052
IN,2,rep,0.918367347,9.671063266
IN,3,rep,0.851820491,29.45258759
IN,5,rep,0.913969336,13.52336393
IN,7,dem,0.961602671,29.72573025
IN,8,rep,0.927835052,28.85943404
IN,9,rep,0.838198499,12.96464857
KS,1,rep,0.855967078,36.29095442
KS,3,rep,0.864454976,-9.662552113
KS,4,rep,0.955648536,18.87281463
KY,1,rep,0.848788638,37.17611626
KY,2,rep,0.850515464,35.64708854
KY,3,dem,0.962090164,25.49942595
KY,4,rep,0.916738197,27.65725024
KY,5,rep,0.948073702,57.8867703
KY,6,rep,0.961602671,3.213068857
LA,1,rep,0.961441744,64.60410285
LA,1,rep,0.961441744,68.2695628
LA,1,rep,0.961441744,55.05690151
LA,3,rep,0.955186722,50.17382076
LA,3,rep,0.955186722,37.87340969
LA,3,rep,0.955186722,51.71279524
LA,3,rep,0.955186722,52.47598021
LA,4,rep,0.93622449,30.61344941
LA,5,rep,0.946127946,36.5713163
LA,6,rep,0.818412162,48.95782516
LA,6,rep,0.818412162,61.41923471
MA,2,dem,0.859855335,34.37817005
MA,5,dem,0.856666667,51.83892022
MA,6,dem,0.844797178,33.80642264
MA,9,dem,0.894647409,18.79553481
MD,1,rep,0.927655678,21.89611017
MD,2,dem,0.825491873,35.3013399
MD,3,dem,0.866032844,40.84710462
MD,4,dem,0.852376981,58.19988607
MD,5,dem,0.871158392,43.20549359
MD,7,dem,0.83033419,55.18454157
MD,8,dem,0.877209302,37.940062
ME,1,dem,0.839527027,26.31375839
ME,2,rep,0.955260978,-1.032444708
MI,1,rep,0.957142857,12.63319669
MI,2,rep,0.920203735,12.34715825
MI,3,rep,0.960650128,11.2383343
MI,4,rep,0.94688027,25.24820207
MI,5,dem,0.951037344,23.6012778
MI,6,rep,0.91038526,4.550876165
MI,7,rep,0.865051903,7.591676269
MI,8,rep,0.839527027,-3.834387707
MI,9,dem,0.858594412,22.8560265
MI,10,rep,0.917517007,25.32369401
MI,12,dem,0.935897436,39.19281263
MI,14,dem,0.860971524,63.56181649
MN,2,rep,0.859693878,-5.507622023
MN,3,rep,0.83033419,-11.42055618
MN,4,dem,0.934056761,36.24860779
MN,6,rep,0.859855335,22.36084453
MN,7,dem,0.959587274,4.264162069
MO,1,dem,0.862377122,63.38551253
MO,2,rep,0.894647409,3.953029521
MO,3,rep,0.931950207,32.24011731
MO,4,rep,0.938037866,32.10530622
MO,5,dem,0.963824289,26.05845975
MO,6,rep,0.864053378,33.44236745
MO,7,rep,0.951037344,36.14477745
MO,8,rep,0.931483088,48.37045526
MS,1,rep,0.856666667,34.51871081
MS,4,rep,0.832535885,37.47608746
MT,0,rep,0.954545455,4.634422437
NC,1,dem,0.863751051,39.69524159
NC,2,rep,0.865254237,5.455164846
NC,4,dem,0.910447761,48.33437316
NC,5,rep,0.853820598,14.06958289
NC,6,rep,0.836846929,13.03207202
NC,7,rep,0.851595007,12.7415767
NC,8,rep,0.868398268,10.67740029
NC,10,rep,0.857630009,18.58547666
NC,11,rep,0.840986395,20.45592119
NC,12,dem,0.867510549,46.14563406
NC,13,rep,0.902027027,5.996172062
NE,1,rep,0.864435146,20.71845677
NE,2,rep,0.858594412,1.990059762
NE,3,rep,0.930717863,53.44297341
NH,2,dem,0.872393661,13.35978978
NJ,1,dem,0.848258706,31.13340774
NJ,3,rep,0.951612903,-1.294663951
NJ,4,rep,0.674479167,12.33200158
NJ,5,dem,0.893634841,13.68053462
NJ,6,dem,0.839360807,27.26508285
NJ,7,rep,0.955870108,-5.019489251
NJ,8,dem,0.841269841,59.40243068
NJ,9,dem,0.944209637,41.40288201
NJ,10,dem,0.865254237,77.46941182
NJ,12,dem,0.912078153,37.36225854
NV,1,dem,0.95229983,35.30134493
NV,2,rep,0.935897436,16.46153365
NY,1,rep,0.936440678,-0.981659156
NY,2,rep,1,1.559591571
NY,3,dem,0.857630009,19.17944148
NY,4,dem,0.840986395,25.52669808
NY,9,dem,0.820666097,73.03353111
NY,10,dem,0.957081545,60.88368301
NY,11,rep,0.861209964,-8.539180842
NY,12,dem,0.837108014,69.6419284
NY,13,dem,0.907577019,84.85379258
NY,15,dem,0.921967769,90.51259721
NY,18,dem,0.805932203,11.92856291
NY,19,rep,0.872393661,-8.083031814
NY,20,dem,0.939759036,27.16849489
NY,21,rep,0.850346021,9.792703609
NY,22,rep,0.85560166,-2.339060236
NY,23,rep,0.842149454,5.744381672
NY,24,rep,0.893634841,-0.907565735
NY,25,dem,0.857635893,20.96734785
NY,26,dem,0.858638743,41.39372158
NY,27,rep,0.841269841,-4.788293025
OH,1,rep,0.853470437,4.417507836
OH,2,rep,0.820666097,16.3573971
OH,3,dem,0.941915228,47.24193986
OH,4,rep,0.918088737,30.52815602
OH,5,rep,0.837108014,27.11896678
OH,6,rep,0.907577019,38.50174356
OH,7,rep,0.886518771,17.48723399
OH,8,rep,0.921967769,33.15207193
OH,9,dem,0.931265717,35.59113035
OH,10,rep,0.886666667,13.76124319
OH,11,dem,0.918156162,64.49054496
OH,12,rep,0.921666667,4.222486953
OH,13,dem,0.946127946,21.98989537
OH,14,rep,0.854409318,10.4959038
OH,15,rep,0.91537133,18.62961329
OK,1,rep,0.853140917,18.59889166
OK,2,rep,0.857635893,34.92097295
OK,3,rep,0.858638743,47.74784782
OK,4,rep,0.865523466,30.06237375
OK,5,rep,0.863751051,-1.396886508
OR,1,dem,0.939473684,31.59045173
OR,2,rep,0.910447761,16.89652273
OR,3,dem,0.963302752,52.77602868
OR,4,dem,0.835769561,15.0970922
OR,5,dem,0.770815451,13.19500431
RI,1,dem,0.953936348,33.62304188
RI,2,dem,0.8,27.2117552
SC,2,rep,0.853403141,13.78359564
SC,3,rep,0.916385135,36.82163003
SC,5,rep,1,15.53952667
SC,6,dem,0.870588235,41.89398013
SC,7,rep,0.945854484,19.2511918
TN,3,rep,0.976190476,29.20716945
TN,4,rep,0.963302752,29.7946664
TN,5,dem,0.814529915,35.69369452
TN,8,rep,0.846221441,37.55863818
TN,9,dem,0.873728814,60.74522251
TX,1,rep,0.955868545,45.93588862
TX,4,rep,0.918128655,52.66585087
TX,7,rep,0.950760967,-5.056218981
TX,8,rep,0.944029851,48.57378189
TX,10,rep,0.890572391,4.266032544
TX,11,rep,0.950124688,61.69972366
TX,12,rep,0.860601002,30.37829946
TX,13,rep,0.866148532,64.61827918
TX,14,rep,0.83831283,19.92512621
TX,15,dem,0.902550091,20.91661509
TX,17,rep,0.953936348,15.49224566
TX,18,dem,0.931120332,54.43222012
TX,19,rep,0.939759036,50.45275639
TX,22,rep,0.851851852,4.908121921
TX,23,rep,0.850533808,0.440807544
TX,24,rep,0.854499579,3.069645962
TX,25,rep,0.870588235,8.746589264
TX,26,rep,0.963087248,20.35583431
TX,27,rep,0.924731183,23.71457085
TX,31,rep,1,2.908320426
TX,32,rep,0.925675676,-6.518394892
TX,33,dem,0.963404255,54.25501577
TX,34,dem,0.789428815,19.9779126
TX,35,dem,0.956989247,45.20346066
TX,36,rep,0.945683802,45.11705023
UT,1,rep,0.796003331,36.71721719
UT,2,rep,0.873728814,17.19645687
UT,3,rep,0.942100098,40.24214048
UT,4,rep,0.847626978,-0.257732916
VA,1,rep,0.96023198,10.47452432
VA,2,rep,0.95164076,-2.235918069
VA,4,dem,0.958262351,26.65830704
VA,7,rep,0.961913198,-1.939377307
VA,8,dem,0.95826087,52.42156996
VA,9,rep,0.955574183,30.40732043
VA,10,rep,0.919763514,-12.37510026
VA,11,dem,0.83736447,44.17453366
VT,0,dem,0.969775475,43.25254816
WA,1,dem,0.909856782,18.53532606
WA,3,rep,0.902550091,5.341995795
WA,4,rep,0.848229342,25.63549544
WA,5,rep,0.965313029,9.519989262
WA,6,dem,0.874251497,27.77341018
WA,7,dem,0.941901408,67.1223089
WA,10,dem,0.962624585,23.0880311
WI,1,rep,0.842783505,12.29078099
WI,3,dem,0.842905405,19.33654826
WI,4,dem,0.858113849,53.97400828
WI,5,rep,0.82721202,23.94643798
WI,6,rep,0.800699301,11.00549121
WI,7,rep,0.921169176,21.60636848
WI,8,rep,0.927303466,27.41853066
WV,1,rep,0.932880204,29.15031229
WV,2,rep,0.946987952,10.98333919
WY,0,rep,0.941870261,33.81947378
